# シミュレーターだけで回す一覧。空の図は一括検証の取込で作れないため、実機では手で作った空の図で確かめる
空の図への反映 | gap-empty.puml | structure-wrap-before.puml
枠と Note を含む図の空の図への反映 | gap-empty.puml | gap-frame-note-after.puml
空の図へ・枠の中で外側のバーを閉じる | gap-empty.puml | gap-close-in-branch.puml
空の図へ・else の中で外側のバーを閉じる | gap-empty.puml | gap-close-in-else.puml
枠の中で外側のバーを閉じる図の名前変更 | gap-close-in-branch.puml | gap-close-in-branch-renamed.puml
else の中で外側のバーを閉じる図の名前変更 | gap-close-in-else.puml | gap-close-in-else-renamed.puml
空の図へ・自己呼び出しのバーが後ろに出た出力 | gap-empty.puml | gap-late-self-bar.puml
自己呼び出しのバーが後ろに出た出力で名前変更 | gap-late-self-bar-normal.puml | gap-late-self-bar-renamed.puml
自己呼び出しのバーが後ろに出た出力の名前変更 | gap-late-self-bar.puml | gap-late-self-bar-renamed.puml
空の図へ・送信で始まるバーが後ろに出た出力 | gap-empty.puml | gap-late-send-bar.puml
送信で始まるバーが後ろに出た出力の名前変更 | gap-late-send-bar.puml | gap-late-send-bar-renamed.puml
空の図へ・別レーンから呼ばれたバーの下の返り | gap-empty.puml | gap-reply-under-callee.puml
別レーンから呼ばれたバーの下の返りの名前変更 | gap-reply-under-callee.puml | gap-reply-under-callee-renamed.puml
空の図へ・送信の後に送信側を activate する出力 | gap-empty.puml | gap-send-then-activate.puml
送信の後に送信側を activate する出力の名前変更 | gap-send-then-activate.puml | gap-send-then-activate-renamed.puml
空の図へ・枠の先頭の破棄 | gap-empty.puml | gap-destroy-head.puml
枠の先頭の破棄の図の名前変更 | gap-destroy-head.puml | gap-destroy-head-renamed.puml
空の図へ・呼んだバーへ戻る返り | gap-empty.puml | gap-reply-to-caller.puml
呼んだバーへ戻る返りの名前変更 | gap-reply-to-caller.puml | gap-reply-to-caller-renamed.puml
空の図へ・開いている呼ばれたバーからの返り | gap-empty.puml | gap-reply-open-callee.puml
開いている呼ばれたバーからの返りの名前変更 | gap-reply-open-callee.puml | gap-reply-open-callee-renamed.puml
空の図へ・枠の後の返り | gap-empty.puml | gap-reply-after-frame.puml
枠の後の返りの名前変更 | gap-reply-after-frame.puml | gap-reply-after-frame-renamed.puml
空の図へ・メッセージと activate の間の Note | gap-empty.puml | gap-note-before-activate.puml
メッセージと activate の間の Note の名前変更 | gap-note-before-activate.puml | gap-note-before-activate-renamed.puml
